Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,3027.34,36328.08,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3245.278,38943.34,USD,"Quantity (1), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 TB), Provisioning IOPS (2000)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,2759.3529999999996,33112.24,USD,"Quantity (1), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 GB), Provisioning IOPS (2000)"
My Estimate,US East (N. Virginia),S3 Standard,0,94.21,1130.52,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,217.17,2606.04,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,32.870000000000005,394.44,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
roup hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon EC2,0,3027.34,36328.08,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t3.2xlarge)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,3245.278,38943.34,USD,"Quantity (1), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 TB), Provisioning IOPS (2000)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,2759.353,33112.24,USD,"Quantity (1), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 GB), Provisioning IOPS (2000)"
My Estimate,US East (N. Virginia),S3 Standard,0,94.21,1130.52,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,217.17,2606.04,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),Elastic Load Balancing,0,32.870000000000005,394.44,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
My Estimate,US East (Ohio),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"




"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Proposed Plan: For better disaster recovery, replicate the architecture to another region (i.e., us east (ohio)).For improved performance and availability, add a redundant NAT Gateway to each region.
