Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
40c7f8de-e333-4e45-a865-744c43a96876,"2020-06-18, 01:07:28 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_trail""}]",,us-east-1,,46.114.4.77
70424a54-5771-4467-8db1-8fe1b2c155a2,"2020-06-18, 01:07:28 AM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:322228980454:trail/Udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_trail""}]",,us-east-1,,46.114.4.77
50170ed0-08a2-40e2-916c-333b9b5e8913,"2020-06-18, 01:07:27 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:322228980454:trail/Udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity3""}]",,us-east-1,,46.114.4.77
93760348-090b-40ab-b6ac-436a002ab46a,"2020-06-18, 01:07:27 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:322228980454:trail/Udacity_trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_trail""}]",,us-east-1,,46.114.4.77
228a55c5-0a89-4c5d-a6f1-772dacbe98b4,"2020-06-18, 01:07:26 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity3""}]",,us-east-1,,46.114.4.77
ec68e368-ffe9-4440-92d4-f8897bd2f6c6,"2020-06-18, 01:07:26 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity3""}]",,us-east-1,,46.114.4.77
5fe0765a-257b-467a-b9fa-b80c8674846b,"2020-06-18, 01:03:57 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
093bd45e-b2c1-4aa0-8ba9-d1c85ca2e8a2,"2020-06-18, 01:03:45 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.114.4.77
e1519fa0-1b21-4328-a28f-75ad6524ba2f,"2020-06-18, 01:03:21 AM",eugene,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.114.4.77
96748415-abae-4ba9-b293-316301a460cd,"2020-06-18, 01:02:52 AM",eugene,ConsoleLogin,,,,us-east-1,,46.114.4.77
61e9f20b-7fc0-49df-b482-ccef02eae1d1,"2020-06-18, 01:01:04 AM",eugene,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.114.4.77
1585a074-f2a0-464a-af23-85962747762e,"2020-06-18, 01:01:03 AM",eugene,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmin""}]",,us-east-1,,46.114.4.77
b4171871-b75b-4d28-9b43-65206a832b23,"2020-06-18, 01:01:03 AM",eugene,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,46.114.4.77
d903fce3-69b3-4fb0-9b56-b1a9335d1856,"2020-06-18, 01:01:02 AM",eugene,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::322228980454:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUWBSYBLTNC4HTHDUH""}]",,us-east-1,,46.114.4.77
37e49a12-9169-4056-98fd-4dabfd271740,"2020-06-18, 12:59:54 AM",eugene,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.114.4.77
85fabe93-d350-4225-9f45-bd31c992d8db,"2020-06-18, 12:59:53 AM",eugene,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewer""}]",,us-east-1,,46.114.4.77
ac2f6628-2de3-45a2-ab28-30dcbb98e2f6,"2020-06-18, 12:59:53 AM",eugene,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,46.114.4.77
b0e71ef4-64a4-4ecf-9fbe-3727cc71fbfa,"2020-06-18, 12:59:53 AM",eugene,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::322228980454:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUWBSYBLTFO4MKFJMR""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.114.4.77
